East (m);North (m);Elevation (m)
1093352;939004.4629;226.62
1093352.942;938999.5525;226.51
1093354.827;938989.7317;226.16
1093356.712;938979.911;228.03
1093358.597;938970.0902;227.66
1093360.482;938960.2694;227.21
1093362.367;938950.4487;226.82
1093364.251;938940.6279;227.46
1093366.136;938930.8072;227.46
1093368.021;938920.9864;225.79
1093369.906;938911.1656;226.3
1093371.791;938901.3449;227.21
1093373.676;938891.5241;227.89
1093375.56;938881.7033;228.09
1093377.445;938871.8826;227.98
1093379.33;938862.0618;227.84
1093381.215;938852.2411;226.22
1093383.1;938842.4203;228
1093384.985;938832.5995;227.08
1093386.869;938822.7788;227.72
1093388.754;938812.958;226.94
1093390.639;938803.1372;227.41
1093392.524;938793.3165;227.61
1093394.409;938783.4957;227.58
1093396.294;938773.675;227.58
1093398.178;938763.8542;227.2
1093400.063;938754.0334;227.53
1093401.948;938744.2127;227.92
1093403.833;938734.3919;227.79
1093404.775;938729.4815;227.66
1093405.718;938724.5711;227.65
1093407.603;938714.7504;227.63
1093409.487;938704.9296;227.64
1093411.372;938695.1089;227.3
1093413.257;938685.2881;228.1
1093415.142;938675.4673;227.75
1093417.027;938665.6466;227.21
1093418.912;938655.8258;226.71
1093420.796;938646.005;226.48
1093422.681;938636.1843;226.78
1093424.566;938626.3635;227.11
1093426.451;938616.5428;228.04
1093428.336;938606.722;227.73
1093430.221;938596.9012;228.03
1093432.105;938587.0805;227.97
1093433.99;938577.2597;227.92
1093435.875;938567.4389;227.42
1093437.76;938557.6182;226.68
1093439.645;938547.7974;227.02
1093441.53;938537.9767;228.1
1093443.414;938528.1559;227.02
1093445.299;938518.3351;226.53
1093447.184;938508.5144;225.93
1093449.069;938498.6936;226.43
1093450.954;938488.8728;227.1
1093452.839;938479.0521;227.24
1093454.723;938469.2313;226.95
1093456.608;938459.4106;226.52
1093458.493;938449.5898;226.57
1093460.378;938439.769;226.68
1093462.263;938429.9483;226.75
1093464.148;938420.1275;225.61
1093465.09;938415.2171;227.41
